Image,Model,Price,CPU,RAM_GB,Storage_GB,Screen_Inch,Battery_Hours,CPU性能释放
https://markjinli.github.io/PrismGAFA/images/Y7000.JPG,Y7000,900,Intel,8,256,13,10,55W
https://markjinli.github.io/PrismGAFA/images/Y9000.JPG,Y9000,1000,AMD,16,512,15,12,60W
https://markjinli.github.io/PrismGAFA/images/test01.JPG,test01,1100,Intel,8,256,13,10,30W
https://markjinli.github.io/PrismGAFA/images/test02.JPG,test02,1200,AMD,16,512,17,14,15W
https://markjinli.github.io/PrismGAFA/images/test03.JPG,test03,1300,Intel,32,1024,15,12,30W
https://markjinli.github.io/PrismGAFA/images/Laptop6.JPG,Laptop6,1400,AMD,8,256,13,10,45W
https://markjinli.github.io/PrismGAFA/images/Laptop7.JPG,Laptop7,1500,Intel,16,512,15,12,50W
https://markjinli.github.io/PrismGAFA/images/Laptop8.JPG,Laptop8,1600,AMD,32,1024,17,14,60W
https://markjinli.github.io/PrismGAFA/images/Laptop9.JPG,Laptop9,1700,Intel,8,256,15,12,12W
https://markjinli.github.io/PrismGAFA/images/Laptop10.JPG,Laptop10,1800,AMD,16,512,13,10,35W
https://markjinli.github.io/PrismGAFA/images/Laptop11.JPG,Laptop11,1900,Intel,32,1024,15,12,60W
https://markjinli.github.io/PrismGAFA/images/Laptop12.JPG,Laptop12,2000,AMD,8,256,13,10,90W
https://markjinli.github.io/PrismGAFA/images/Laptop13.JPG,Laptop13,2100,Intel,16,512,17,14,35W
https://markjinli.github.io/PrismGAFA/images/Laptop14.JPG,Laptop14,2200,AMD,32,1024,15,12,60W
https://markjinli.github.io/PrismGAFA/images/Laptop15.JPG,Laptop15,2300,Intel,8,256,13,10,90W
